Track,Artist,Genre,Album,Popularity,Duration (minutes)
The Avengers,Alan Silvestri,soundtrack,The Avengers (Original Motion Picture Soundtrack),62,2.06
Theme From Jurass...,John Williams,soundtrack,Jurassic Park,64,3.46
The Batman Theme,Danny Elfman,soundtrack,Batman (Original Motion Picture Score),56,2.64
No Time for Caution,Hans Zimmer,soundtrack,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],61,4.1
F1,Hans Zimmer,soundtrack,F1® The Movie (Original Score By Hans Zimmer),65,3.23
Main Titles,Harold Faltermeyer,synthpop,Top Gun: Maverick (Music From The Motion Picture),60,2.51
Destroyer Of Worlds,Ludwig Göransson,soundtrack,Oppenheimer (Original Motion Picture Soundtrack),60,2.91
Why You Here / Be...,Ludwig Göransson,soundtrack,Sinners (Original Motion Picture Score),47,3.66
What Are You Goin...,Hans Zimmer,soundtrack,Man of Steel (Original Motion Picture Soundtrack),55,5.46
He's a Pirate,Hans Zimmer,soundtrack,Cinematic Autumn: Iconic Soundtracks,56,1.53
